label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
odroid4,88.7,90.4,85.4,84.6,84.3,84.1,84.0,84.2,84.2,84.4,84.4,84.9,84.5,84.7
odroid4,89.2,87.3,86.1,84.6,84.6,84.5,84.4,84.4,85.5,84.4,84.4,84.5,84.2,84.5
odroid4,89.7,89.4,85.9,84.3,85.0,84.6,84.0,85.0,84.1,85.6,84.5,84.3,84.6,84.6
odroid4,89.5,87.4,86.6,84.3,84.4,84.5,84.0,84.8,84.4,84.6,83.9,84.5,84.1,84.9
odroid4,88.7,89.2,85.6,83.8,83.9,84.5,84.2,84.4,83.9,84.4,83.7,83.9,83.7,83.9
odroid4,89.1,91.2,86.0,85.0,84.5,84.4,84.3,84.6,84.3,84.5,84.6,84.8,84.6,84.3
odroid4,89.3,88.8,85.8,84.1,84.1,84.3,83.9,84.2,84.4,84.1,84.1,84.5,84.2,83.5
odroid4,89.8,87.5,86.3,84.7,84.2,84.2,84.2,84.3,84.1,84.4,84.6,84.4,84.4,84.8
odroid4,89.0,89.8,85.8,84.0,83.9,84.0,83.7,83.8,84.0,83.8,83.6,84.3,84.3,84.1
odroid4,89.0,91.6,85.4,84.6,84.1,84.0,83.8,84.3,84.0,84.4,84.3,84.6,84.1,84.6
odroid4,89.0,88.2,85.9,84.4,84.8,84.1,84.3,84.8,84.4,84.7,84.6,84.3,84.8,84.4
odroid4,88.8,89.5,85.9,84.8,84.3,84.4,83.8,84.2,84.3,84.1,84.4,84.4,84.2,84.4
odroid4,89.0,90.0,85.5,84.0,84.4,84.2,84.3,84.5,84.8,84.4,84.3,84.2,84.6,84.7
odroid4,89.5,91.7,86.1,84.5,84.7,84.3,84.3,84.3,84.4,84.7,84.5,84.4,84.7,84.1
odroid4,89.3,90.2,86.5,84.4,84.4,84.5,85.3,84.3,84.4,84.5,84.3,84.7,84.3,84.3
odroid4,88.8,89.4,85.3,84.2,83.8,84.1,84.1,83.7,84.4,84.0,84.7,84.0,84.1,84.5
odroid4,88.9,93.5,86.0,84.5,84.8,84.5,84.7,84.4,83.9,84.9,84.2,84.1,84.5,85.6
odroid4,88.8,94.9,85.5,84.3,84.6,84.3,84.0,84.2,84.6,84.2,84.3,84.6,84.7,84.4
odroid4,88.6,87.6,86.1,84.0,84.3,83.9,84.1,84.0,84.1,84.1,84.3,84.2,84.5,83.7
odroid4,88.6,89.3,85.8,83.9,83.5,84.4,83.8,83.7,84.1,83.4,83.9,84.2,83.7,83.8
odroid4,89.2,89.8,85.7,84.5,84.0,84.4,83.9,83.7,84.2,84.2,84.0,84.4,83.8,84.1
odroid4,88.8,89.7,86.4,84.4,84.4,84.1,84.5,84.0,84.1,84.0,84.1,84.6,84.1,84.2
