label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
odroid3,86.8,90.3,83.3,81.8,81.8,81.7,82.0,81.6,81.9,81.6,81.8,81.7,82.2,81.6
odroid3,86.5,84.7,83.1,81.9,81.5,81.8,81.2,81.3,81.7,81.9,81.7,81.7,81.8,81.5
odroid3,87.4,87.3,83.5,82.0,81.7,81.6,81.8,81.6,81.8,82.5,81.8,81.8,81.3,81.6
odroid3,85.4,82.9,82.5,81.3,81.1,81.1,80.8,80.7,81.0,81.0,81.0,80.7,80.7,81.2
odroid3,86.6,86.8,83.3,81.9,82.0,81.9,81.7,81.8,81.6,81.7,81.7,81.8,81.9,81.9
odroid3,85.1,82.9,82.3,81.3,81.1,81.0,81.1,81.6,81.1,80.9,81.2,80.8,81.1,80.8
odroid3,87.4,84.1,83.6,82.3,81.5,81.7,81.8,81.6,81.8,81.8,81.6,83.0,85.3,83.4
odroid3,86.8,85.4,83.6,81.8,82.2,81.8,82.0,82.2,81.5,81.9,82.1,81.5,81.8,81.7
odroid3,85.0,83.0,82.2,81.4,81.1,81.3,81.1,81.2,81.4,80.9,81.0,81.2,81.3,84.8
odroid3,85.4,82.7,82.5,81.1,81.1,80.8,80.7,81.1,81.3,80.7,80.8,80.9,81.1,81.0
odroid3,87.4,88.4,83.5,82.0,81.4,81.6,81.7,81.4,81.8,81.6,83.5,87.7,88.5,87.2
odroid3,86.9,84.3,83.4,82.1,81.5,81.7,81.8,82.4,81.4,81.7,82.1,81.7,81.8,81.7
odroid3,86.9,84.5,83.2,81.8,81.7,81.6,81.9,81.6,81.6,81.8,81.4,81.8,81.9,81.5
odroid3,85.3,82.9,82.0,81.5,80.9,81.5,81.0,81.1,80.7,81.0,80.9,81.1,81.2,81.1
odroid3,86.5,86.7,83.5,82.2,81.9,81.6,81.5,82.0,81.5,81.6,81.6,81.5,81.3,81.6
odroid3,85.2,82.7,82.3,80.9,81.0,80.9,81.2,80.7,81.1,80.7,80.5,81.2,81.4,80.9
odroid3,86.8,90.7,82.8,81.8,81.6,82.2,81.7,82.0,81.9,81.4,81.5,81.7,81.3,82.0
odroid3,85.3,83.1,82.2,81.5,81.1,81.4,81.2,80.8,81.0,81.2,81.3,80.8,80.9,81.1
odroid3,87.2,83.6,83.0,82.0,82.0,81.6,81.9,82.1,81.9,81.7,81.7,81.9,81.7,81.8
odroid3,85.1,83.0,82.5,81.5,81.2,81.2,81.0,81.0,81.1,81.1,81.2,80.7,81.4,81.1
odroid3,85.3,82.8,82.3,81.0,81.1,81.0,80.7,81.0,81.1,80.8,81.0,81.4,81.4,80.7
odroid3,86.9,88.5,83.2,82.2,81.8,81.6,81.6,81.8,82.0,81.7,81.8,81.7,82.0,81.7
odroid3,85.4,83.0,82.6,81.4,80.9,81.3,81.2,80.9,80.9,80.9,81.0,81.2,80.8,80.9
odroid3,85.7,83.3,87.3,81.6,81.2,81.2,80.9,81.2,81.2,80.9,81.1,81.8,81.0,81.1
