label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
odroid1,87.5,85.4,85.9,84.4,84.1,83.8,83.8
odroid1,88.0,86.0,85.6,84.5,84.2,83.5,84.1
odroid1,88.5,85.9,85.4,83.8,83.6,83.7,84.2
odroid1,87.6,85.4,85.6,84.5,83.8,83.8,83.6
odroid1,88.1,85.7,85.6,83.9,83.6,83.7,84.6
odroid1,87.9,85.6,85.2,84.7,83.9,83.6,84.3
odroid1,87.3,86.1,85.6,84.2,83.9,83.9,84.1
odroid1,87.7,85.7,85.2,84.2,84.1,84.6,84.0
odroid1,87.4,86.0,85.9,84.7,84.0,84.0,83.8
odroid1,87.9,85.3,85.5,84.1,84.1,83.9,84.2
odroid1,87.8,85.5,85.4,84.3,84.0,83.8,83.5
odroid1,88.0,85.9,85.8,84.4,83.7,83.8,83.8
odroid1,88.3,85.8,85.4,84.3,83.8,83.9,83.9
odroid1,87.9,85.9,85.5,84.5,83.9,84.5,83.9
odroid1,87.4,86.1,85.3,84.2,83.7,83.7,83.8
odroid1,87.8,86.2,85.4,84.5,84.2,84.0,83.6
odroid1,88.3,85.8,85.7,84.4,83.5,83.9,84.0
odroid1,87.7,86.0,85.5,84.3,84.4,83.9,83.6
odroid1,87.9,86.0,86.0,84.2,83.7,83.7,83.9
odroid1,87.7,85.8,85.9,84.5,84.3,84.0,84.0
odroid1,87.8,86.0,85.6,84.2,84.0,83.9,83.7
odroid1,87.9,86.2,85.6,84.0,83.4,84.2,84.2
odroid1,87.9,86.4,85.5,89.8,87.2,84.3,84.3
odroid1,88.9,85.6,85.5,84.6,83.5,83.7,83.7
odroid1,88.0,86.8,85.3,84.0,83.7,83.6,84.0
odroid1,87.5,85.6,85.7,84.5,84.0,84.1,84.0
odroid1,87.7,85.2,85.3,84.2,83.9,84.1,84.3
odroid1,88.2,85.9,85.5,84.1,84.4,84.1,84.0
odroid1,87.8,85.9,85.5,84.1,83.6,83.5,84.3
odroid1,87.7,85.6,85.5,84.6,84.2,84.1,84.3
odroid1,88.6,85.3,85.2,84.2,83.5,84.1,83.7
