label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
odroid3,85.2,83.4,82.1,81.0,80.7,80.8,80.9
odroid3,84.1,82.9,81.8,80.8,80.5,80.7,80.6
odroid3,84.4,82.5,81.9,80.9,80.5,81.2,80.8
odroid3,84.1,82.3,82.0,80.6,80.2,81.2,80.8
odroid3,84.2,82.3,82.3,80.8,80.9,81.0,80.7
odroid3,84.4,82.2,82.1,81.0,80.7,80.3,80.6
odroid3,85.1,83.1,82.1,81.3,80.5,80.8,80.9
odroid3,84.5,82.5,82.3,81.1,80.5,80.5,80.6
odroid3,84.0,82.1,81.6,80.9,80.8,80.5,80.3
odroid3,84.0,82.9,81.9,81.0,80.6,80.7,80.5
odroid3,84.9,83.6,82.2,81.1,80.9,80.7,80.7
odroid3,85.3,83.3,82.5,81.0,80.7,80.9,81.1
odroid3,84.5,82.4,81.6,80.8,81.0,80.6,80.5
odroid3,84.7,82.0,82.0,81.1,80.4,80.4,80.4
odroid3,84.1,82.2,82.2,80.8,80.3,80.9,80.5
odroid3,85.2,83.1,82.9,80.7,80.7,80.8,81.1
odroid3,84.4,82.4,82.1,80.8,80.6,80.5,80.3
odroid3,84.2,82.1,82.1,80.7,80.6,80.6,80.6
odroid3,86.4,89.3,83.5,82.8,81.9,82.5,82.0
odroid3,84.9,83.2,82.0,81.1,80.9,80.8,80.8
odroid3,84.2,82.9,82.1,81.0,81.0,80.7,80.6
odroid3,83.8,82.5,81.8,81.0,80.7,80.8,80.3
odroid3,84.0,82.4,82.0,81.3,81.2,80.3,80.6
odroid3,84.2,82.6,82.0,80.8,80.4,80.8,80.7
odroid3,84.2,82.4,82.0,80.9,80.7,80.7,80.2
odroid3,84.1,82.6,81.8,80.5,80.3,80.5,80.8
odroid3,84.6,82.6,82.0,81.2,80.4,80.2,80.5
odroid3,85.2,83.0,81.9,81.2,80.6,81.1,80.8
odroid3,84.4,82.4,81.6,80.8,80.3,80.7,80.6
odroid3,84.0,82.3,81.7,81.0,80.8,80.5,80.4
odroid3,85.4,82.7,82.7,80.9,80.8,81.2,80.8
odroid3,85.2,83.3,82.5,82.5,81.2,82.0,81.7
odroid3,84.6,82.8,81.7,80.4,80.6,80.6,80.2
odroid3,84.4,82.5,81.9,81.1,80.4,80.6,80.6
odroid3,83.9,82.4,82.0,80.7,80.9,80.5,80.4
odroid3,84.2,82.4,82.0,81.1,80.6,80.2,80.6
odroid3,84.4,82.3,81.9,81.2,80.5,80.6,80.7
odroid3,84.6,82.2,82.3,80.8,80.3,80.3,80.6
odroid3,84.0,82.2,82.0,80.5,80.6,80.4,80.1
odroid3,84.1,82.3,82.2,80.6,80.8,80.6,80.5
odroid3,84.3,82.3,81.6,80.6,80.3,80.4,80.2
odroid3,85.6,83.2,82.4,81.2,81.2,80.7,81.1
odroid3,84.4,82.2,81.9,81.0,80.2,80.5,80.6
odroid3,83.8,82.4,81.6,80.5,80.4,80.8,80.5
odroid3,84.3,82.2,81.8,81.1,80.4,80.5,80.3
odroid3,84.1,82.4,81.9,80.6,80.5,80.4,80.6
