label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
odroid4,170.0,175.0,174.0,173.0,173.0,172.0,172.0
odroid4,171.0,171.0,174.0,171.0,174.0,173.0,171.0
odroid4,169.0,172.0,173.0,173.0,173.0,175.0,175.0
odroid4,170.0,174.0,172.0,173.0,172.0,174.0,172.0
odroid4,170.0,175.0,172.0,172.0,172.0,174.0,171.0
odroid4,169.0,174.0,174.0,173.0,176.0,173.0,173.0
odroid4,170.0,173.0,175.0,171.0,173.0,171.0,173.0
odroid4,171.0,172.0,174.0,173.0,171.0,172.0,173.0
odroid4,171.0,173.0,173.0,172.0,172.0,172.0,174.0
odroid4,170.0,172.0,173.0,171.0,172.0,174.0,174.0
odroid4,171.0,174.0,174.0,172.0,174.0,174.0,172.0
odroid4,169.0,173.0,173.0,172.0,173.0,173.0,174.0
odroid4,173.0,171.0,174.0,174.0,173.0,173.0,172.0
odroid4,170.0,172.0,175.0,174.0,172.0,172.0,173.0
odroid4,169.0,176.0,173.0,172.0,174.0,174.0,174.0
odroid4,171.0,171.0,174.0,171.0,172.0,173.0,170.0
odroid4,173.0,171.0,175.0,171.0,172.0,172.0,171.0
odroid4,172.0,173.0,172.0,171.0,175.0,173.0,173.0
odroid4,171.0,174.0,172.0,173.0,173.0,174.0,172.0
odroid4,171.0,175.0,173.0,172.0,172.0,174.0,173.0
odroid4,201.0,139.0,344.0,18.0,170.0,173.0,179.0
odroid4,169.0,173.0,175.0,171.0,174.0,173.0,173.0
odroid4,171.0,172.0,172.0,173.0,175.0,183.0,164.0
odroid4,171.0,172.0,175.0,174.0,175.0,171.0,175.0
odroid4,171.0,172.0,176.0,172.0,174.0,172.0,175.0
odroid4,171.0,174.0,174.0,172.0,174.0,172.0,174.0
odroid4,174.0,172.0,174.0,173.0,174.0,175.0,174.0
odroid4,173.0,171.0,175.0,172.0,172.0,172.0,171.0
odroid4,171.0,172.0,175.0,174.0,173.0,172.0,172.0
odroid4,170.0,173.0,173.0,173.0,171.0,172.0,173.0
odroid4,171.0,172.0,173.0,173.0,172.0,173.0,174.0
odroid4,172.0,174.0,172.0,173.0,171.0,173.0,173.0
odroid4,170.0,174.0,174.0,175.0,174.0,171.0,171.0
odroid4,5.0,202.0,11.0,314.0,4.0,312.0,366.0
odroid4,171.0,172.0,174.0,171.0,172.0,174.0,173.0
odroid4,171.0,172.0,173.0,175.0,173.0,173.0,172.0
odroid4,171.0,173.0,174.0,174.0,174.0,175.0,173.0
odroid4,171.0,173.0,175.0,174.0,175.0,173.0,172.0
odroid4,172.0,173.0,175.0,171.0,172.0,175.0,175.0
odroid4,171.0,174.0,175.0,172.0,174.0,173.0,174.0
odroid4,170.0,174.0,173.0,173.0,173.0,173.0,174.0
odroid4,172.0,172.0,173.0,174.0,173.0,173.0,174.0
odroid4,171.0,172.0,174.0,174.0,173.0,173.0,173.0
odroid4,172.0,174.0,174.0,173.0,175.0,173.0,175.0
odroid4,172.0,171.0,175.0,174.0,174.0,173.0,174.0
odroid4,171.0,172.0,173.0,173.0,174.0,173.0,173.0
odroid4,169.0,173.0,173.0,171.0,173.0,172.0,174.0
odroid4,170.0,199.0,146.0,175.0,172.0,174.0,173.0
odroid4,171.0,173.0,175.0,173.0,172.0,173.0,171.0
odroid4,169.0,171.0,176.0,171.0,171.0,175.0,174.0
odroid4,172.0,171.0,175.0,173.0,173.0,175.0,170.0
odroid4,171.0,174.0,174.0,174.0,173.0,175.0,172.0
odroid4,170.0,174.0,174.0,174.0,178.0,168.0,173.0
odroid4,172.0,172.0,176.0,173.0,173.0,174.0,173.0
odroid4,170.0,172.0,177.0,173.0,173.0,172.0,173.0
odroid4,171.0,175.0,174.0,172.0,173.0,173.0,172.0
odroid4,169.0,173.0,173.0,173.0,173.0,172.0,174.0
odroid4,171.0,175.0,174.0,173.0,172.0,173.0,172.0
odroid4,171.0,174.0,173.0,171.0,171.0,175.0,173.0
odroid4,170.0,174.0,174.0,173.0,173.0,173.0,173.0
odroid4,170.0,174.0,174.0,175.0,173.0,172.0,172.0
odroid4,170.0,174.0,173.0,173.0,172.0,174.0,173.0
odroid4,171.0,174.0,174.0,172.0,173.0,171.0,174.0
odroid4,169.0,174.0,175.0,174.0,173.0,173.0,172.0
odroid4,170.0,172.0,174.0,174.0,172.0,173.0,173.0
odroid4,173.0,174.0,173.0,175.0,174.0,175.0,171.0
odroid4,171.0,173.0,174.0,172.0,172.0,172.0,172.0
odroid4,171.0,173.0,172.0,174.0,172.0,171.0,174.0
odroid4,170.0,175.0,173.0,173.0,174.0,173.0,173.0
odroid4,171.0,172.0,172.0,172.0,172.0,175.0,174.0
odroid4,171.0,174.0,172.0,172.0,174.0,175.0,172.0
odroid4,171.0,173.0,175.0,174.0,172.0,172.0,174.0
odroid4,171.0,171.0,176.0,173.0,174.0,172.0,175.0
odroid4,170.0,175.0,175.0,171.0,174.0,173.0,173.0
odroid4,170.0,171.0,174.0,171.0,171.0,172.0,172.0
odroid4,171.0,173.0,173.0,171.0,173.0,173.0,174.0
odroid4,171.0,173.0,173.0,173.0,173.0,172.0,173.0
odroid4,170.0,175.0,175.0,174.0,172.0,172.0,173.0
odroid4,170.0,173.0,175.0,172.0,173.0,173.0,173.0
odroid4,171.0,172.0,174.0,174.0,172.0,173.0,174.0
odroid4,170.0,173.0,176.0,173.0,172.0,173.0,175.0
odroid4,171.0,173.0,180.0,172.0,174.0,175.0,173.0
odroid4,170.0,173.0,176.0,173.0,174.0,174.0,174.0
odroid4,170.0,172.0,175.0,172.0,174.0,172.0,173.0
odroid4,170.0,171.0,176.0,172.0,174.0,172.0,171.0
odroid4,172.0,174.0,173.0,173.0,173.0,173.0,174.0
odroid4,171.0,174.0,172.0,174.0,173.0,173.0,173.0
odroid4,171.0,173.0,175.0,171.0,172.0,174.0,172.0
odroid4,11.0,171.0,173.0,344.0,11.0,174.0,344.0
odroid4,170.0,173.0,172.0,173.0,174.0,172.0,173.0
odroid4,170.0,175.0,174.0,175.0,174.0,175.0,175.0
odroid4,130.0,173.0,174.0,172.0,175.0,173.0,173.0
odroid4,171.0,172.0,176.0,172.0,175.0,172.0,173.0
odroid4,171.0,174.0,176.0,174.0,173.0,174.0,175.0
odroid4,171.0,171.0,174.0,174.0,172.0,174.0,171.0
odroid4,172.0,172.0,174.0,174.0,172.0,173.0,172.0
odroid4,170.0,173.0,174.0,172.0,172.0,172.0,174.0
odroid4,171.0,172.0,173.0,175.0,173.0,173.0,174.0
odroid4,172.0,173.0,174.0,173.0,175.0,173.0,175.0
odroid4,171.0,175.0,176.0,173.0,172.0,172.0,172.0
odroid4,173.0,172.0,173.0,173.0,172.0,173.0,174.0
odroid4,170.0,172.0,174.0,172.0,172.0,173.0,173.0
odroid4,169.0,172.0,176.0,174.0,171.0,173.0,175.0
odroid4,170.0,172.0,172.0,175.0,173.0,173.0,173.0
odroid4,171.0,175.0,175.0,171.0,173.0,175.0,172.0
odroid4,172.0,174.0,174.0,174.0,175.0,174.0,173.0
odroid4,169.0,173.0,174.0,173.0,175.0,174.0,173.0
odroid4,171.0,175.0,174.0,175.0,173.0,173.0,174.0
odroid4,171.0,174.0,174.0,171.0,174.0,174.0,173.0
odroid4,172.0,171.0,175.0,174.0,171.0,173.0,175.0
odroid4,173.0,171.0,174.0,174.0,174.0,174.0,172.0
odroid4,172.0,173.0,174.0,172.0,174.0,190.0,159.0
odroid4,170.0,173.0,172.0,174.0,173.0,173.0,172.0
odroid4,170.0,173.0,174.0,175.0,170.0,173.0,173.0
odroid4,172.0,174.0,175.0,172.0,174.0,173.0,172.0
odroid4,170.0,174.0,172.0,172.0,172.0,173.0,173.0
odroid4,170.0,175.0,173.0,175.0,171.0,172.0,173.0
odroid4,171.0,173.0,176.0,173.0,172.0,175.0,172.0
odroid4,171.0,172.0,174.0,174.0,173.0,173.0,174.0
odroid4,170.0,172.0,174.0,173.0,172.0,174.0,173.0
odroid4,169.0,175.0,176.0,170.0,173.0,174.0,174.0
odroid4,172.0,174.0,174.0,172.0,174.0,173.0,174.0
odroid4,171.0,174.0,176.0,172.0,175.0,173.0,175.0
odroid4,170.0,173.0,173.0,173.0,171.0,175.0,174.0
odroid4,171.0,173.0,174.0,175.0,171.0,172.0,175.0
odroid4,169.0,173.0,177.0,174.0,171.0,175.0,171.0
odroid4,171.0,175.0,172.0,174.0,173.0,171.0,172.0
odroid4,172.0,174.0,174.0,173.0,172.0,172.0,172.0
odroid4,171.0,173.0,173.0,173.0,172.0,173.0,173.0
odroid4,171.0,173.0,174.0,173.0,173.0,174.0,176.0
odroid4,170.0,173.0,175.0,172.0,174.0,174.0,174.0
odroid4,170.0,172.0,175.0,172.0,173.0,171.0,174.0
odroid4,172.0,175.0,175.0,172.0,174.0,174.0,173.0
odroid4,170.0,174.0,176.0,175.0,173.0,173.0,173.0
odroid4,169.0,172.0,173.0,174.0,173.0,175.0,174.0
odroid4,172.0,175.0,172.0,173.0,171.0,172.0,174.0
odroid4,170.0,174.0,174.0,173.0,173.0,176.0,173.0
odroid4,172.0,173.0,175.0,172.0,174.0,171.0,175.0
odroid4,170.0,174.0,173.0,174.0,173.0,174.0,173.0
odroid4,170.0,175.0,174.0,174.0,171.0,173.0,174.0
odroid4,171.0,174.0,175.0,174.0,172.0,220.0,127.0
odroid4,170.0,174.0,173.0,173.0,179.0,167.0,174.0
odroid4,172.0,174.0,175.0,176.0,173.0,173.0,173.0
odroid4,170.0,174.0,175.0,172.0,175.0,173.0,173.0
odroid4,172.0,171.0,174.0,172.0,172.0,173.0,173.0
odroid4,171.0,173.0,174.0,174.0,174.0,172.0,174.0
odroid4,339.0,10.0,174.0,353.0,8.0,172.0,172.0
odroid4,171.0,172.0,174.0,173.0,175.0,173.0,174.0
odroid4,173.0,171.0,174.0,172.0,174.0,173.0,174.0
odroid4,170.0,174.0,175.0,174.0,171.0,176.0,172.0
odroid4,171.0,176.0,172.0,175.0,171.0,174.0,174.0
odroid4,173.0,171.0,172.0,174.0,172.0,175.0,174.0
odroid4,173.0,171.0,172.0,173.0,174.0,174.0,172.0
odroid4,171.0,174.0,174.0,172.0,174.0,174.0,172.0
odroid4,169.0,174.0,174.0,172.0,174.0,172.0,174.0
odroid4,170.0,172.0,176.0,173.0,174.0,171.0,173.0
odroid4,172.0,173.0,174.0,173.0,174.0,173.0,173.0
odroid4,170.0,172.0,174.0,172.0,174.0,173.0,174.0
