label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
odroid1,166.0,168.0,167.0,10.0,156.0,331.0,167.0
odroid1,165.0,168.0,167.0,166.0,167.0,168.0,166.0
odroid1,167.0,166.0,166.0,168.0,167.0,169.0,168.0
odroid1,164.0,169.0,169.0,167.0,168.0,166.0,168.0
odroid1,165.0,169.0,166.0,16.0,150.0,331.0,167.0
odroid1,164.0,14.0,155.0,333.0,167.0,167.0,7.0
odroid1,164.0,168.0,167.0,165.0,168.0,167.0,167.0
odroid1,164.0,168.0,168.0,167.0,167.0,169.0,167.0
odroid1,163.0,168.0,167.0,167.0,168.0,167.0,168.0
odroid1,164.0,167.0,168.0,168.0,169.0,166.0,166.0
odroid1,330.0,170.0,167.0,169.0,168.0,166.0,167.0
odroid1,166.0,169.0,168.0,15.0,151.0,333.0,167.0
odroid1,166.0,167.0,167.0,167.0,167.0,169.0,168.0
odroid1,166.0,169.0,169.0,167.0,166.0,166.0,168.0
odroid1,164.0,168.0,167.0,166.0,166.0,167.0,168.0
odroid1,165.0,169.0,168.0,165.0,166.0,170.0,167.0
odroid1,166.0,10.0,157.0,332.0,169.0,167.0,166.0
odroid1,164.0,168.0,167.0,166.0,167.0,166.0,168.0
odroid1,167.0,168.0,166.0,166.0,167.0,169.0,168.0
odroid1,165.0,167.0,167.0,15.0,152.0,332.0,168.0
odroid1,164.0,168.0,168.0,165.0,167.0,165.0,168.0
odroid1,167.0,169.0,168.0,13.0,155.0,333.0,167.0
odroid1,165.0,168.0,168.0,166.0,168.0,166.0,168.0
odroid1,167.0,168.0,167.0,167.0,166.0,168.0,166.0
odroid1,167.0,166.0,166.0,168.0,167.0,166.0,167.0
odroid1,165.0,170.0,167.0,166.0,169.0,169.0,167.0
odroid1,164.0,168.0,167.0,167.0,169.0,167.0,166.0
odroid1,165.0,166.0,166.0,167.0,167.0,166.0,167.0
odroid1,164.0,167.0,168.0,167.0,167.0,169.0,165.0
odroid1,154.0,334.0,166.0,166.0,167.0,168.0,165.0
odroid1,331.0,167.0,168.0,166.0,168.0,166.0,169.0
odroid1,165.0,170.0,165.0,169.0,166.0,167.0,169.0
odroid1,163.0,170.0,166.0,168.0,168.0,167.0,167.0
odroid1,154.0,332.0,166.0,168.0,7.0,158.0,330.0
odroid1,166.0,170.0,168.0,168.0,169.0,165.0,167.0
odroid1,165.0,166.0,167.0,167.0,8.0,159.0,331.0
odroid1,164.0,168.0,168.0,2.0,165.0,3.0,329.0
odroid1,165.0,12.0,156.0,332.0,168.0,167.0,9.0
odroid1,167.0,167.0,167.0,166.0,167.0,166.0,167.0
odroid1,166.0,168.0,168.0,166.0,169.0,167.0,167.0
odroid1,164.0,168.0,169.0,167.0,168.0,168.0,167.0
odroid1,165.0,168.0,165.0,15.0,153.0,333.0,167.0
odroid1,167.0,10.0,158.0,333.0,167.0,169.0,166.0
odroid1,164.0,167.0,168.0,167.0,166.0,167.0,168.0
odroid1,154.0,337.0,167.0,167.0,167.0,166.0,167.0
odroid1,165.0,167.0,169.0,167.0,169.0,167.0,168.0
odroid1,166.0,168.0,167.0,168.0,168.0,168.0,168.0
odroid1,165.0,169.0,166.0,167.0,166.0,166.0,167.0
odroid1,165.0,168.0,168.0,14.0,153.0,331.0,166.0
odroid1,166.0,168.0,169.0,167.0,167.0,166.0,166.0
odroid1,163.0,167.0,167.0,167.0,167.0,166.0,165.0
odroid1,8.0,321.0,331.0,167.0,167.0,169.0,165.0
odroid1,167.0,14.0,155.0,334.0,168.0,169.0,166.0
odroid1,8.0,320.0,332.0,167.0,168.0,166.0,169.0
odroid1,164.0,167.0,169.0,168.0,167.0,169.0,7.0
odroid1,164.0,167.0,169.0,168.0,166.0,167.0,169.0
odroid1,166.0,167.0,166.0,167.0,166.0,166.0,168.0
odroid1,332.0,167.0,167.0,167.0,166.0,169.0,165.0
odroid1,166.0,170.0,168.0,166.0,169.0,166.0,166.0
odroid1,166.0,166.0,166.0,168.0,167.0,168.0,168.0
odroid1,166.0,168.0,168.0,167.0,168.0,165.0,166.0
odroid1,167.0,167.0,169.0,166.0,168.0,167.0,168.0
odroid1,165.0,167.0,167.0,167.0,167.0,167.0,168.0
odroid1,167.0,167.0,168.0,164.0,168.0,167.0,170.0
odroid1,165.0,166.0,168.0,167.0,166.0,166.0,168.0
odroid1,165.0,168.0,169.0,167.0,169.0,167.0,167.0
odroid1,164.0,167.0,167.0,167.0,166.0,166.0,167.0
odroid1,164.0,166.0,167.0,17.0,149.0,331.0,169.0
odroid1,165.0,169.0,167.0,164.0,169.0,167.0,167.0
odroid1,165.0,169.0,167.0,166.0,167.0,168.0,167.0
odroid1,165.0,168.0,167.0,166.0,167.0,169.0,167.0
odroid1,164.0,167.0,168.0,168.0,169.0,167.0,168.0
odroid1,164.0,167.0,168.0,166.0,168.0,169.0,167.0
odroid1,165.0,167.0,165.0,16.0,151.0,332.0,168.0
