label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20
odroid1,90,87.8,87.8,86.7,86.2,86.3,87.9,86.3,88,88.8,88.6,87.9,86.4,88.6,85.6,85.9,88.2,86.7,87.7,86.9,86.8
odroid1,90.7,87.1,87.1,85.7,85.3,85.3,85.3,85.2,85.5,85.1,85,85,85.1,85.5,85,85.1,85.3,85.4,85.3,85.3,85.2
odroid1,90.4,87.5,88.1,86.1,84.9,85.1,85,85.1,85.7,85.3,85.3,84.8,85.2,84.8,84.8,85.2,84.8,85.1,85.4,85.4,84.8
odroid1,90.4,87.3,86.8,85.6,85.1,84.6,84.7,85,84.9,84.9,85,84.8,85.3,85,85.3,85,84.8,84.8,84.7,84.6,85.1
odroid1,91.1,87.1,87.4,85.7,85.6,86.1,85.8,84.8,85.1,85.2,85.1,85.3,85.3,85.1,85.4,85.3,85.5,85.5,85.3,85.1,84.9
odroid1,91.6,87,86.9,85.6,84.8,84.9,84.9,85.1,85,85.2,85.6,85.4,84.9,85.1,85.3,84.9,84.9,85.2,85,85.1,84.9
odroid1,90.8,87.1,86.8,85.2,85.2,85.4,90.7,85.4,85.1,85.1,85.1,84.8,85,85.2,85.1,85.1,85.3,85.3,85.1,84.9,85.1
odroid1,90.4,87.4,86.4,85.2,85.3,85.1,85.4,85.2,84.7,84.8,84.8,84.8,84.8,84.6,84.9,85.2,85,84.9,85.1,84.7,85
odroid1,90.8,87.4,86.9,86.2,85.3,85.1,85.7,84.9,85.2,85.3,85.4,85.2,84.9,85,85.1,85.3,85.2,85.4,85.1,85.3,84.9
odroid1,90,86.8,86.2,85.2,84.9,84.8,85.1,84.9,84.9,85,85.2,85.5,85.1,85,84.7,85.1,84.9,85.2,84.9,85,85
odroid1,91.2,87.2,87.2,86.1,85.2,85.4,84.9,85,85.1,85.4,85.3,85.1,85.2,85,85.6,85.1,84.8,84.8,85.2,85.4,85.3
odroid1,90.8,87.9,87.1,85.7,85,85,84.9,85.4,84.8,85.3,85.3,85,85.2,85.2,85.1,85.2,85.5,84.8,85.1,85.2,85.2
odroid1,90.3,87.4,87,85.8,84.9,84.8,85.4,84.8,84.9,84.9,84.8,88.1,100.9,98.5,93.4,195.1,108.6,85.2,84.9,85.1,87.2
odroid1,90.2,86.4,86.6,85.3,84.7,84.9,85,84.7,84.7,85,85.2,84.7,85,84.8,84.7,85.2,85,84.8,84.8,84.9,85
odroid1,90.2,86.9,86.6,85.7,85.1,85.4,85.2,84.6,85.4,85.2,85.1,84.9,84.7,85,84.9,85,85,84.9,85.2,84.8,85
odroid1,91,88,89.1,88.4,86.9,93,93.4,93.4,92.8,92.7,90.9,92.3,86.3,85.1,85.3,85,85.3,85.2,85.2,85.3,85.1
odroid1,90.5,86.3,86.8,85.5,84.9,85.2,85.2,84.6,85,85.3,85.1,85.3,85.4,85.1,85.1,84.9,85.1,84.8,84.8,84.9,84.9
odroid1,90.7,87.4,87.6,85.8,86,84.9,85,85,85.2,85,85.1,85,84.8,85.2,84.8,85.2,84.8,84.9,85.2,85.2,85.1
odroid1,92.1,94.6,89.7,89.5,85.6,86.9,85.9,85.9,85.8,86.6,85.4,86.5,87.7,85.9,86.2,85.7,85.6,85.7,85.8,86.4,87.1
odroid1,91,86.7,86.9,85.6,85,85,84.9,85.1,85.5,84.6,84.6,85.2,84.8,84.8,84.7,84.6,85,85,84.9,84.7,85
odroid1,90.8,87.3,87.7,85.7,85.2,84.9,85,85,84.9,85,85.7,85.4,85.1,85.1,84.9,85.3,84.9,85.5,85.5,85.2,84.8
odroid1,91.3,87.8,87.4,86,85,84.8,85,84.9,85.1,85.4,85.4,85.3,85,85.4,85.2,85.4,84.9,85.5,84.8,85.6,85.5
odroid1,90.5,89,87.3,85.9,85.4,85.5,85.1,85.3,85.4,84.8,85.8,84.8,84.9,84.9,85.2,85,85.1,85.3,85,85.6,85.4
odroid1,90,87,86.7,85.1,85,84.8,85.2,84.7,85,84.7,84.6,85.1,84.7,85.1,84.6,85.2,84.8,84.8,84.6,85.1,85
odroid1,90.4,87.7,87.3,85.8,86.1,85.6,85.4,85.2,85.3,85.4,85.3,85.8,84.8,84.9,85.3,85.2,85,85.8,85.1,85.5,84.8
odroid1,90.8,87.7,86.7,86,85.2,85.4,85.2,85.8,85.1,84.9,85,85.1,85.3,85.5,84.9,84.9,85,85.3,85,85.4,85.3
odroid1,90.6,88.2,87,85.5,85.1,85.4,85.2,85.2,84.9,85.2,85.2,85.6,85.1,85.5,85.9,85.1,85,85.2,84.9,85.2,85.2
odroid1,90.6,89.3,87,85.8,84.8,85.5,85.3,85.4,85.3,85.2,85.2,85.2,85.1,85.6,84.6,85,84.7,84.9,85.3,84.8,84.9
odroid1,89.7,86.8,86.4,85.8,84.7,84.8,84.7,84.9,84.9,85.4,84.9,84.7,85,85.2,85,84.7,84.9,85.2,84.7,84.5,84.8
odroid1,90,87,86.9,85.3,85.1,85.2,85.3,84.9,84.9,85,85.2,85.2,85.5,85,85,85.1,85.1,85.1,85.3,84.8,84.8
odroid1,90.6,86.6,86.2,85.5,84.8,85.4,85.1,85.2,84.6,85.6,85,85.3,85.1,85,84.9,85,85.1,85,85.1,85.3,85.6
odroid1,90.2,87.5,87.4,85.6,85.7,84.9,85.5,84.9,85,85.4,85.4,85.2,85.2,84.7,85.1,84.9,85.1,85,85,84.8,85.2
odroid1,90.5,87,86.5,85.3,84.7,84.8,84.8,85.3,85.1,85.8,84.6,84.6,85,84.8,85,85,85.1,85.3,84.8,85,85.1
odroid1,90.8,87.5,87,85.9,85.1,85.5,85.2,85.6,84.9,85,85.4,85.1,85.2,85.1,85.2,85.3,85.1,85.1,85,85,85.1
odroid1,90.6,87.6,87.4,85.7,85.1,84.9,85.2,84.9,85.1,85,85.5,85,84.8,85.2,85,85,84.9,85.4,84.8,85.1,85.1
odroid1,91.1,87.5,86.9,85.8,85.3,84.7,84.9,85.2,84.8,85.3,85.3,85,85.2,85,84.8,85.1,85,85.1,85.2,84.9,84.9
odroid1,89.9,87.2,86.2,85.2,85.1,85,85,85,85.2,84.7,84.8,84.7,85.1,84.7,85,84.9,85.1,85,84.8,84.7,84.9
odroid1,91.5,87.1,86.8,85.4,85,84.9,85.3,85.6,85.6,84.9,84.8,85,85.3,85.1,85.5,85.1,84.9,84.9,85,84.9,85.1
odroid1,99.3,97.4,91.5,88,85.9,85.2,85.6,88.8,90,86.3,87.5,85.4,88.3,89,86.4,89.8,89.7,95.2,89.2,103.6,104
odroid1,91.4,87.3,86.8,86,85.3,84.9,84.9,84.9,85,85.1,85.2,85.2,85.2,85.3,85.8,84.8,85.3,84.9,85,84.8,85.1
odroid1,90.2,87.1,86.6,85.6,85.1,84.9,85,85,84.8,84.8,84.7,84.8,84.8,84.7,85,84.6,85.3,84.8,85,84.9,84.9
odroid1,90.5,88,87.4,85.8,85.2,85,85,84.9,85.4,85.3,85.1,85.1,86,85.1,85,85.5,85.1,85.9,84.8,85.2,85
odroid1,91.6,86.9,86.6,85.5,84.7,85.4,84.7,85,84.7,84.7,84.7,85.4,85.1,85.1,84.6,84.7,85,85.1,84.7,84.6,84.7
odroid1,90.2,86.8,86.5,85.7,85,84.7,85.3,85.1,84.7,84.6,84.8,84.8,84.8,85,85.1,84.7,84.8,85.1,84.8,85,84.8
odroid1,90,87.3,86.7,85.4,85,85.1,84.8,85.1,84.7,84.7,85.1,85.3,84.9,84.9,84.7,84.9,84.9,84.9,84.9,84.8,84.7
odroid1,99.9,98.2,87,85.4,84.5,87,90.5,86.4,84.7,85.1,84.9,85.1,85.2,84.6,85.4,84.7,84.8,84.8,84.7,85,85.1
odroid1,91.2,87.8,87,85.7,85,85,85.3,85.1,85.2,85.2,85.3,86.3,85,85.3,84.9,84.9,85.2,85.2,84.9,85.1,85
odroid1,91,88.1,87.4,85.3,84.8,85.8,85.3,85.4,85.2,85.4,85.3,85,85.4,85.1,86.4,85.1,85.2,85.2,85.2,85.1,85
odroid1,91.4,86.9,87.3,87.6,85.2,88.5,90.7,87.8,91.3,90.3,90.4,90.7,90.9,93,87.2,85.8,85.3,85.4,85.4,85.1,85.1
odroid1,90,88,86.6,85.8,85.1,85,84.8,85,85.2,84.7,85,85.1,84.9,85.2,85.7,85.1,85.5,84.7,85,84.9,85.2
odroid1,90.7,86.8,89,86.8,87.8,90.7,86.7,87.1,86.7,91,89.1,88.2,86.4,89.6,85.3,85.2,85,85,84.9,85.2,85.3
odroid1,90.5,87.5,87,86.1,85,84.8,85.2,85.5,85.3,85,85.1,85.2,85.8,84.8,85,85,85,85.3,85.3,84.8,85.2
odroid1,89.9,86.8,86.7,85.2,85.1,85.9,85.8,85.1,84.8,84.9,85,85,85,84.9,84.8,85.2,84.6,84.9,84.9,84.6,85.2
odroid1,90.7,87.7,87.1,86,85.2,85.1,85.2,85.2,84.8,85.4,85.2,84.8,84.9,85,85.4,85.3,85.1,85.1,85.5,85.1,84.9
odroid1,90.6,87.5,87.2,85.3,85.2,85.1,85.1,85.2,85.3,85.6,85.2,85.4,85.1,85.2,85.5,85.2,85.1,85.4,85.1,85.1,85.1
odroid1,90.8,87.9,87.1,85.8,84.9,85.3,85.3,85.3,85.4,85.3,85.3,85.7,85.4,85,85.1,85.3,84.8,85.3,85.4,85.5,85.1
odroid1,90.2,88.5,86.9,85.3,84.9,85.3,85.1,85.3,84.8,84.8,85.2,85.3,85.1,85.5,85.3,85.2,85.3,84.8,85.5,85.2,85.5
odroid1,91,87.9,86.9,85.5,85.1,85.1,85,85.2,85.2,85.3,85,84.9,85,84.8,84.8,84.9,85.1,84.8,85.2,85.1,84.8
odroid1,89.8,87.1,86.3,85.2,84.9,85.3,85.1,84.8,85,85.1,85,85,85.2,84.9,85,84.8,84.9,84.8,85.3,84.7,85
odroid1,91.5,87.8,87,85.5,85.3,84.9,85,85,85.1,85,85.1,85.5,85.2,85.1,84.9,84.9,84.9,84.9,85.4,85.3,85.3
odroid1,90.8,86.9,86.3,85.1,85.1,84.7,85.4,84.9,84.6,85.2,84.6,85.1,84.6,84.7,85.2,85.2,84.8,84.7,84.8,84.8,85.5
odroid1,90.6,87.3,87.5,86,85.4,85.2,85,85.1,85.1,85.2,85.1,85.3,85,85.5,84.8,85,85.1,85,84.9,84.9,85.1
odroid1,90.3,87,86.6,85.5,84.8,85.1,85.2,84.8,84.9,84.9,84.6,84.6,84.9,84.8,85.2,85.3,85,85.2,85.3,84.8,84.8
odroid1,90.7,87.1,87,85.5,85,84.9,86.1,85.1,84.9,85.1,85.6,85.7,84.9,85.4,85.1,85.1,85.5,85.5,85.6,85.3,85.5
odroid1,91.1,88.2,87.2,86.1,85.2,85,85,85.2,85.2,85.3,85.3,85.2,85,85,85.1,85,85,85.4,85.3,84.9,85
odroid1,90.3,89,86.9,85.5,85.2,85.2,85,85.4,84.9,85.1,85.1,85,84.9,85.1,85.3,85.2,85,85.1,85,85.8,85
odroid1,91,87.8,87.4,85.7,85,85.1,85.5,84.9,85.2,84.9,85.1,85,85.1,85,84.9,85,85,85,85.6,84.9,85.2
odroid1,89.8,86.7,86.4,85.8,85.2,85.2,85.2,85.5,85.4,84.9,85.2,85,85,85,85.2,84.9,85.1,84.7,85.2,85,84.8
odroid1,91.4,86.7,86.6,85.1,85,84.6,84.8,84.7,84.6,85,85.2,84.9,85.6,85.2,84.8,84.9,85,84.7,85,84.7,84.7
odroid1,91.3,88.4,86.7,85.7,84.9,85.2,85.5,85.1,85.1,85.5,85.3,85.3,85,84.8,84.8,85.1,85,84.8,85,85.4,85
odroid1,90.9,87.9,87.1,85.6,85,85.1,85.3,85,85.3,85.3,84.8,84.8,84.8,85.2,85,85.3,84.8,84.9,85.1,85.2,85
odroid1,91.5,87.8,88,85.9,85.1,85.3,84.9,85.2,85,85.1,85.2,85.8,86.3,91.3,92.3,87.5,87.8,92.2,86.3,93.9,89.6
odroid1,90.8,87.2,86.7,85.4,85,85.1,84.9,85.2,84.9,85,85.1,85.2,84.9,85.1,85,85,85.1,85.1,84.9,85.1,85.1
odroid1,90.4,87.7,87.6,85.3,85,85.4,85.2,85.4,85,85.4,85,84.8,85,85.1,85.1,85.1,84.9,84.9,85,85.4,85.3
odroid1,90.7,87.8,87.4,85.5,84.7,85.5,85.4,85.4,84.7,84.9,84.7,84.9,85.4,85.4,85.1,85.3,85.2,85.3,85.2,85.1,85.4
odroid1,91,88,87.5,88.1,90.2,94,91.4,92.5,92.2,92.6,93.4,88.3,89.4,86.7,85,85,85.2,85,85.1,85.3,85.1
odroid1,90.6,87.2,87.6,89.4,85.8,87.3,88.6,87.2,85.3,87.9,87.2,85.4,85.3,85.2,86.6,87.2,85.7,85.4,86.4,86.6,85.5
odroid1,91.4,87.9,86.9,85.9,85,85.3,85.1,85.2,85.4,85.1,85.2,85.2,85.1,85.1,84.9,85.1,85.5,85.3,85,84.9,85.1
odroid1,90.8,87.2,87,85.7,84.8,85.1,85.1,85,84.8,84.8,85.1,85.4,84.9,85.2,85.3,84.9,85,85.4,85.2,84.9,84.9
odroid1,90.6,87.5,87.2,85.8,85.4,85.2,85.3,85.5,85.1,84.8,85.4,85.1,85.3,85.5,85,84.9,84.7,85.2,85.2,85.3,85.1
